Who wrote Pride and Prejudice?,Charlotte Bronte,Jane Austen,Emily Dickinson,Mary Shelley,Jane Austen
In Orwell’s 1984 what is the name of the leader of Oceania?,The Grand Chancellor,Big Brother,Supreme Leader,Party Chief,Big Brother
Which Shakespeare play features the characters Rosencrantz and Guildenstern?,Macbeth,Othello,Hamlet,King Lear,Hamlet
Who was the first President of the United States?,Thomas Jefferson,George Washington,John Adams,Abraham Lincoln,George Washington
Which of the following is a legume?,Wheat,Corn,Soybean,Rice,Soybean
Which artist is knows as the ‘King of Pop’?,Elvis Presley,Prince,Michael Jackson,Justin Timberlake,Michael Jackson
Which TV show is set in the fictional town of Hawkins Indiana?,Riverdale,Twin Peaks,Stranger Things,X-Files,Stranger Things
Which of these Books names for women does not appear in the bible? (Including Deuterocanon/Apocrypha),Esther,Judith,Mary,Ruth,Mary
Who was the last King of England to die in battle?,Harold Godwinson,Richard I,Richard III,James II,Richard III
Which of these countries have three official capital cities?,South Africa,Switzerland,Spain,South Korea,South Africa
Which of these is NOT a capital city of South Africa,Bloemfontein,Cape Town,Johannesburg,Pretoria,Johannesburg
What is the most northernly capital city of an independent state in the world?,Helsinki,Reykjavik,Oslo,Moscow,Reykjavik
What does the DC in Washington DC stand for?,District Capital,District of Columbia,Directly Controlled,District of Colorado,District of Columbia
What is the name of the parent company of Tik Tok?,Google,Nividia,Alibaba,ByteDance,ByteDance
The company Cadbury was founded in which year?,1824,1924,1884,1784,1824
How many terms in office is a President of the United States allowed to serve?,1,2,3,4,2
In which decade was William Shakespeare born?,1550s,1560s,1570s,1580s,1560s
Which Shakespeare is knows as the Moor of Venice,Iago,Prospero,Shylock,Othello,Othello
The Star Chamber was created by which Tudor Monarch?,Henry VII,Henry VIII,Mary I,Elizabeth I,Henry VII
Which Christian Church has the largest Biblical canon with 81 books?,Roman Catholic,Eastern Orthodox,Ethiopian Orthodox,Assyrian Church of the East,Ethiopian Orthodox
